world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
53,4.328069741,"[[ 7.70584337e-04 -3.49145781e-05 -1.52242354e-01]
 [ 1.37745679e-04 -9.22310059e-04  1.00976999e+00]
 [ 2.39786443e-04  8.27926150e-04  3.12040910e-03]]","[[ 1.18838793e+03  1.78403439e+02  2.48857159e+02]
 [-3.42394774e+02 -5.51207400e+01  1.13199350e+03]
 [-4.74850165e-01  9.15641475e-01  1.00000000e+00]]",1,"[[ 8.88717429e-04 -6.97791301e-05 -1.73984086e-01]
 [ 2.20383332e-04 -1.09351494e-03  1.11604675e+00]
 [ 3.15749746e-04  8.42390199e-04  4.14086863e-03]]","[[ 9.87691246e+02  1.52934190e+02  2.80340461e+02]
 [-3.67483687e+02 -6.12845823e+01  1.07710382e+03]
 [-5.55101825e-01  8.05772920e-01  1.00000000e+00]]",6
54,4.368847741000001,"[[ 1.22963221e-03 -1.62089150e-05 -2.72207745e-01]
 [-3.90164666e-04 -2.39238495e-03  2.30055719e+00]
 [-2.35030125e-04  3.71741630e-04  7.11576688e-01]]","[[ 8.67540976e+02  3.04120422e+01  2.33547182e+02]
 [ 8.92337946e+01 -2.75094712e+02  9.23528353e+02]
 [ 2.39926842e-01  1.53759819e-01  1.00000000e+00]]",3,"[[ 1.40437524e-03 -9.79467381e-05 -2.86024139e-01]
 [-4.24272465e-04 -2.85450512e-03  2.64366250e+00]
 [-2.38683041e-04  2.41311442e-04  8.49407364e-01]]","[[ 7.56127705e+02 -3.49988890e+00  2.65506646e+02]
 [ 6.68132595e+01 -2.77659187e+02  8.86673952e+02]
 [ 1.93490265e-01  7.78978114e-02  1.00000000e+00]]",6
55,4.408862741,"[[ 1.23663212e-03 -2.50744566e-05 -2.69886483e-01]
 [-3.67705899e-04 -2.43634770e-03  2.32156642e+00]
 [-2.56194350e-04  2.52119036e-04  8.29447745e-01]]","[[ 8.62362725e+02  1.56334302e+01  2.36839508e+02]
 [ 9.58872067e+01 -3.16529172e+02  9.17142958e+02]
 [ 2.37215025e-01  1.01040996e-01  1.00000000e+00]]",2,"[[ 1.40838233e-03 -1.17760095e-04 -2.73436639e-01]
 [-3.99463798e-04 -2.88661691e-03  2.65255564e+00]
 [-2.52379692e-04  1.12367658e-04  9.68517662e-01]]","[[ 7.52291811e+02 -2.02619512e+01  2.67883702e+02]
 [ 6.87084144e+01 -3.14901628e+02  8.81843999e+02]
 [ 1.88063243e-01  3.12550349e-02  1.00000000e+00]]",6
56,4.446136741,"[[ 1.24990836e-03  5.54386449e-07 -2.99717075e-01]
 [-3.48993159e-04 -2.45123251e-03  2.31103911e+00]
 [-2.30637768e-04  3.65315242e-04  7.23241160e-01]]","[[ 8.54246899e+02  3.58700099e+01  2.39388182e+02]
 [ 9.15930994e+01 -2.72507166e+02  9.08724186e+02]
 [ 2.26150352e-01  1.49084436e-01  1.00000000e+00]]",5,"[[ 1.40419015e-03 -6.43268677e-05 -3.20675431e-01]
 [-3.86498393e-04 -2.86005739e-03  2.60771610e+00]
 [-2.41338765e-04  2.62861901e-04  8.34661110e-01]]","[[ 7.60382003e+02  7.57306963e+00  2.68477120e+02]
 [ 7.59102634e+01 -2.70886258e+02  8.75489469e+02]
 [ 1.95954664e-01  8.75006049e-02  1.00000000e+00]]",6
57,4.487679741,"[[ 1.26103350e-03  2.05928645e-06 -3.08693141e-01]
 [-3.37506768e-04 -2.47681247e-03  2.31608396e+00]
 [-2.28541246e-04  3.61248625e-04  7.29780583e-01]]","[[ 8.46784971e+02  3.61929308e+01  2.43320869e+02]
 [ 9.06329457e+01 -2.72117932e+02  9.01950206e+02]
 [ 2.20318640e-01  1.46035410e-01  1.00000000e+00]]",5,"[[ 1.41043136e-03 -6.03293729e-05 -3.30071262e-01]
 [-3.75505161e-04 -2.87596431e-03  2.60465233e+00]
 [-2.41697281e-04  2.59872147e-04  8.39406350e-01]]","[[ 7.57777907e+02  8.61373672e+00  2.71245172e+02]
 [ 7.70619374e+01 -2.70690504e+02  8.70246670e+02]
 [ 1.94335686e-01  8.62834061e-02  1.00000000e+00]]",6
66,4.847652741,"[[ 1.47999592e-03  2.64906132e-05 -5.31712213e-01]
 [-3.30973584e-04 -2.62770742e-03  2.53637158e+00]
 [-3.80288625e-05  4.78891376e-04  5.71464145e-01]]","[[ 7.00032744e+02  6.95244686e+01  3.42761790e+02]
 [-2.38862759e+01 -2.12756588e+02  9.22068590e+02]
 [ 6.66015197e-02  1.82918268e-01  1.00000000e+00]]",2,"[[ 1.57934084e-03 -3.65920769e-05 -5.34549041e-01]
 [-4.37831624e-04 -3.07197236e-03  2.90269409e+00]
 [-1.44314906e-04  3.21454718e-04  7.64547754e-01]]","[[ 6.74188180e+02  2.95532899e+01  3.59169827e+02]
 [ 1.72891964e+01 -2.32211348e+02  8.93705365e+02]
 [ 1.19989509e-01  1.03211883e-01  1.00000000e+00]]",6
70,5.005663741,"[[ 5.92480467e-04 -1.77822676e-05 -8.02724412e-02]
 [-2.73394656e-04 -1.74728525e-03  1.65184563e+00]
 [-7.25867770e-04  2.62999506e-04  8.76461639e-01]]","[[ 1.89008220e+03  5.31311325e+00  1.63093356e+02]
 [ 9.22418183e+02 -4.43247670e+02  9.19859412e+02]
 [ 1.28853811e+00  1.37405370e-01  1.00000000e+00]]",1,"[[ 6.34018041e-04 -5.89111533e-05 -6.97510563e-02]
 [-3.22964684e-04 -1.99403040e-03  1.84118307e+00]
 [-8.18106559e-04  1.71596431e-04  1.00473592e+00]]","[[ 1.80741459e+03 -3.67972794e+01  1.92906017e+02]
 [ 9.20915198e+02 -4.51934144e+02  8.92103369e+02]
 [ 1.31440704e+00  4.72225483e-02  1.00000000e+00]]",6
71,5.048544741000001,"[[ 1.36953237e-03 -3.47251345e-05 -4.23655928e-01]
 [-3.65010829e-04 -2.61054578e-03  2.42953321e+00]
 [-1.48934278e-04  4.04997554e-04  6.91282670e-01]]","[[ 7.77217456e+02  4.11312045e+01  3.31764654e+02]
 [ 3.05234406e+01 -2.46282397e+02  8.84273142e+02]
 [ 1.49566026e-01  1.53149528e-01  1.00000000e+00]]",4,"[[ 1.44818078e-03 -8.38618437e-05 -4.30195124e-01]
 [-4.57896679e-04 -2.94181365e-03  2.69407472e+00]
 [-2.45072805e-04  2.92980786e-04  8.32545798e-01]]","[[ 7.53372708e+02  1.30784579e+01  3.46963402e+02]
 [ 6.49093722e+01 -2.55950245e+02  8.61781756e+02]
 [ 1.98924749e-01  9.39211735e-02  1.00000000e+00]]",6
72,5.0886837410000005,"[[ 1.36413317e-03 -3.83207685e-05 -4.15087494e-01]
 [-3.66747557e-04 -2.60461142e-03  2.42182739e+00]
 [-1.51221948e-04  3.99482297e-04  6.96832259e-01]]","[[ 7.80034631e+02  3.90001159e+01  3.29105131e+02]
 [ 3.10258221e+01 -2.48886751e+02  8.83482605e+02]
 [ 1.51491394e-01  1.51146166e-01  1.00000000e+00]]",6,"[[ 1.44694539e-03 -8.75368862e-05 -4.23126877e-01]
 [-4.63321123e-04 -2.93650216e-03  2.68819727e+00]
 [-2.37473611e-04  2.88877172e-04  8.33067365e-01]]","[[ 7.51334875e+02  1.14949036e+01  3.44521251e+02]
 [ 5.88407193e+01 -2.57586527e+02  8.61083410e+02]
 [ 1.93771203e-01  9.25982783e-02  1.00000000e+00]]",6
73,5.126481741,"[[ 1.36101946e-03 -3.92965332e-05 -4.12038428e-01]
 [-3.64697621e-04 -2.60098330e-03  2.41264594e+00]
 [-1.51413164e-04  3.95503419e-04  7.01028516e-01]]","[[ 7.81463964e+02  3.80985977e+01  3.28196001e+02]
 [ 3.08477901e+01 -2.50884938e+02  8.81571845e+02]
 [ 1.51382608e-01  1.49772053e-01  1.00000000e+00]]",6,"[[ 1.44288980e-03 -8.78493313e-05 -4.20265967e-01]
 [-4.60280591e-04 -2.92825230e-03  2.67471449e+00]
 [-2.37632953e-04  2.86367070e-04  8.35542223e-01]]","[[ 7.53151517e+02  1.10063579e+01  3.43591356e+02]
 [ 5.88469548e+01 -2.59220580e+02  8.59408890e+02]
 [ 1.94031833e-01  9.19734623e-02  1.00000000e+00]]",6
