world_index,world_timestamp,surface_name,event_type
53,4.328069741,Surface 1,enter
57,4.487679741,Surface 1,exit
66,4.847652741,Surface 1,enter
66,4.847652741,Surface 1,exit
70,5.005663741,Surface 1,enter
106,6.442731741,Surface 1,exit
108,6.5219197410000005,Surface 1,enter
307,14.497554741,Surface 1,exit
309,14.564111741000001,Surface 1,enter
309,14.564111741000001,Surface 1,exit
317,14.894375741000001,Surface 1,enter
317,14.894375741000001,Surface 1,exit
321,15.057946741,Surface 1,enter
588,25.730902741,Surface 1,exit
593,25.933841741000002,Surface 1,enter
593,25.933841741000002,Surface 1,exit
596,26.060053741,Surface 1,enter
619,26.975338741,Surface 1,exit
621,27.059769741,Surface 1,enter
678,29.339482741,Surface 1,exit
680,29.414673741,Surface 1,enter
685,29.619219741000002,Surface 1,exit
688,29.744149741,Surface 1,enter
748,32.143586741,Surface 1,exit
752,32.303547741,Surface 1,enter
867,36.897089741,Surface 1,exit
869,36.980183741000005,Surface 1,enter
907,38.500494741000004,Surface 1,exit
911,38.667823741,Surface 1,enter
925,39.230442741000005,Surface 1,exit
927,39.311454741000006,Surface 1,enter
941,39.871125741,Surface 1,exit
946,40.062879741,Surface 1,enter
952,40.310932741,Surface 1,exit
955,40.424049741000005,Surface 1,enter
1007,42.502694741,Surface 1,exit
1013,42.752795741,Surface 1,enter
1162,48.703935741,Surface 1,exit
1170,49.034152741,Surface 1,enter
1317,54.91242574100001,Surface 1,exit
