# timestamps [seconds],pts
2.201532,0
2.240788,2572
2.274054,4752
2.315111,7443
2.359265,10337
2.396887,12802
2.440536,15663
2.484144,18520
2.524693,21178
2.560610,23532
2.597708,25963
2.639859,28725
2.680977,31420
2.725210,34319
2.764647,36903
2.806041,39616
2.847009,42301
2.883946,44722
2.929711,47721
2.965789,50085
3.006152,52730
3.046969,55405
3.085610,57938
3.126311,60605
3.167302,63291
3.204931,65757
3.246606,68488
3.288397,71227
3.325886,73684
3.366195,76326
3.407270,79018
3.441616,81268
3.480401,83810
3.520680,86450
3.560782,89078
3.600573,91686
3.648379,94819
3.686284,97303
3.727772,100022
3.770685,102834
3.800974,104819
3.841476,107473
3.889700,110634
3.927027,113080
3.964898,115562
4.009001,118452
4.046282,120895
4.090121,123768
4.127752,126234
4.166295,128760
4.206944,131424
4.250371,134270
4.285564,136577
4.328070,139362
4.368848,142035
4.408863,144657
4.446137,147100
4.487680,149822
4.525412,152295
4.565936,154951
4.606005,157577
4.646143,160207
4.682747,162606
4.727980,165570
4.766120,168070
4.806914,170743
4.847653,173413
4.885180,175872
4.925957,178545
4.968044,181303
5.005664,183768
5.048545,186578
5.088684,189209
5.126482,191686
5.167454,194371
5.208510,197062
5.246095,199525
5.288522,202305
5.328867,204949
5.366097,207389
5.408657,210178
5.451466,212984
5.478974,214787
5.519077,217415
5.557832,219955
5.597872,222579
5.637175,225154
5.676292,227718
5.716366,230344
5.757372,233031
5.798757,235744
5.838583,238354
5.875402,240767
5.916667,243471
5.955107,245990
5.995873,248662
6.036334,251313
6.077151,253988
6.116835,256589
6.158536,259322
6.197511,261876
6.239338,264617
6.276043,267023
6.318179,269784
6.356972,272326
6.397597,274989
6.442732,277947
6.484409,280678
6.521920,283136
6.561164,285708
6.602682,288429
6.640905,290934
6.682070,293632
6.722753,296298
6.762589,298908
6.800899,301419
6.841786,304099
6.881065,306673
6.919845,309214
6.960936,311907
7.002289,314617
7.044380,317376
7.083434,319935
7.132931,323179
7.172045,325742
7.212889,328419
7.251988,330981
7.287256,333292
7.333322,336311
7.371209,338794
7.409553,341307
7.456251,344368
7.492326,346732
7.525959,348936
7.560026,351168
7.598898,353716
7.639183,356356
7.684179,359305
7.731794,362425
7.765737,364650
7.812205,367695
7.848991,370106
7.891334,372881
7.932539,375581
7.969486,378002
8.010837,380712
8.051183,383356
8.089640,385877
8.121283,387950
8.162682,390663
8.202321,393261
8.243960,395990
8.284666,398658
8.330519,401663
8.371734,404364
8.412728,407050
8.451337,409580
8.492386,412271
8.533293,414951
8.570704,417403
8.611858,420100
8.659101,423196
8.686398,424985
8.722275,427336
8.761312,429895
8.805209,432771
8.844826,435368
8.884769,437985
8.930354,440973
8.972468,443733
9.011221,446272
9.050054,448817
9.093255,451649
9.131726,454170
9.170115,456686
9.213755,459546
9.243815,461516
9.285219,464229
9.325392,466862
9.365870,469514
9.403442,471977
9.447840,474886
9.492020,477782
9.528894,480198
9.570628,482933
9.612101,485651
9.653873,488389
9.686387,490519
9.733920,493635
9.767091,495808
9.803621,498202
9.843067,500787
9.881142,503283
9.922026,505962
9.959176,508397
10.001877,511195
10.052724,514527
10.087997,516839
10.130146,519601
10.171602,522318
10.212943,525027
10.249531,527425
10.292529,530243
10.329177,532645
10.370147,535330
10.412063,538077
10.445524,540270
10.486950,542984
10.521215,545230
10.561571,547875
10.611772,551165
10.645860,553399
10.694116,556561
10.730466,558943
10.764576,561179
10.815864,564540
10.850693,566822
10.895989,569791
10.932098,572157
10.970035,574643
11.009199,577210
11.042158,579370
11.081776,581966
11.121465,584567
11.166035,587488
11.208362,590262
11.242057,592470
11.285466,595315
11.330226,598248
11.372761,601036
11.413438,603702
11.453509,606328
11.491579,608823
11.531784,611458
11.570243,613978
11.608449,616482
11.643904,618805
11.680334,621193
11.719768,623777
11.765454,626771
11.812032,629824
11.856691,632750
11.891466,635029
11.931190,637633
11.973911,640432
12.005788,642521
12.050426,645447
12.092245,648187
12.133132,650867
12.169842,653273
12.201067,655319
12.241211,657950
12.280912,660552
12.322234,663260
12.365750,666112
12.412925,669203
12.452252,671780
12.491179,674332
12.530407,676902
12.571333,679584
12.613059,682319
12.650109,684747
12.697022,687821
12.738265,690524
12.759882,691941
12.800942,694632
12.842118,697330
12.881325,699900
12.925988,702827
12.975726,706086
13.015279,708678
13.058568,711515
13.093446,713801
13.137508,716689
13.175923,719206
13.215104,721774
13.259483,724682
13.297828,727195
13.335840,729686
13.365374,731622
13.404205,734167
13.446114,736913
13.484756,739446
13.525762,742133
13.577077,745496
13.614228,747931
13.655795,750655
13.694292,753178
13.733873,755771
13.775696,758512
13.816236,761169
13.853005,763579
13.898678,766572
13.940114,769287
13.965127,770927
14.007224,773686
14.044905,776155
14.083848,778707
14.125803,781457
14.174051,784619
14.215963,787365
14.258886,790178
14.295234,792560
14.336005,795232
14.377948,797981
14.417394,800566
14.455778,803082
14.497555,805819
14.534402,808234
14.564112,810181
14.611601,813293
14.645571,815520
14.685906,818163
14.728011,820922
14.775573,824039
14.813859,826548
14.852282,829066
14.894376,831825
14.937506,834652
14.976823,837228
15.014582,839703
15.057947,842545
15.097358,845127
15.135584,847633
15.164861,849551
15.206136,852256
15.246700,854915
15.287634,857597
15.329395,860334
15.375609,863363
15.416329,866031
15.459398,868854
15.497228,871333
15.532322,873633
15.576034,876497
15.614593,879024
15.652471,881507
15.697854,884481
15.733499,886817
15.763709,888797
15.807694,891679
15.846644,894232
15.885550,896782
15.928765,899614
15.975511,902677
16.012698,905114
16.058329,908105
16.103476,911063
16.131216,912881
16.176989,915881
16.211005,918110
16.249368,920624
16.297143,923755
16.332426,926068
16.367074,928338
16.404659,930801
16.443430,933342
16.486363,936156
16.524349,938645
16.569434,941600
16.609717,944240
16.656974,947337
16.689812,949489
16.729504,952090
16.778152,955278
16.810198,957378
16.848857,959912
16.889416,962570
16.929337,965186
16.969861,967842
17.025315,971476
17.052495,973257
17.088842,975639
17.127232,978155
17.173112,981162
17.211850,983701
17.249268,986153
17.291243,988904
17.330109,991451
17.373892,994320
17.404998,996359
17.447180,999123
17.488788,1001850
17.528602,1004459
17.569116,1007114
17.608321,1009683
17.645255,1012104
17.685464,1014739
17.723581,1017237
17.768608,1020188
17.809789,1022887
17.857818,1026034
17.887762,1027997
17.929602,1030739
17.978324,1033932
18.016261,1036418
18.060155,1039294
18.096828,1041698
18.137720,1044378
18.173577,1046727
18.221307,1049855
18.254138,1052007
18.287396,1054187
18.324339,1056608
18.362961,1059139
18.406529,1061994
18.448072,1064716
18.495163,1067803
18.529408,1070047
18.576002,1073100
18.615575,1075694
18.655364,1078301
18.694632,1080875
18.738643,1083759
18.772797,1085997
18.816498,1088861
18.847079,1090865
18.886058,1093420
18.926308,1096058
18.965008,1098594
19.008630,1101453
19.049134,1104107
19.096052,1107182
19.136480,1109831
19.177575,1112524
19.217281,1115127
19.256738,1117712
19.297686,1120396
19.336733,1122955
19.376001,1125528
19.416279,1128168
19.452608,1130549
19.486504,1132770
19.529925,1135616
19.567284,1138064
19.610284,1140882
19.655732,1143860
19.691609,1146212
19.731045,1148796
19.777509,1151841
19.819427,1154588
19.852409,1156750
19.899847,1159859
19.932947,1162028
19.979385,1165071
20.019289,1167686
20.053558,1169932
20.088541,1172225
20.131289,1175026
20.169298,1177517
20.209794,1180171
20.256081,1183204
20.292652,1185601
20.333023,1188247
20.378968,1191258
20.421470,1194043
20.461520,1196668
20.499384,1199149
20.537508,1201648
20.582348,1204586
20.616746,1206841
20.653627,1209258
20.690389,1211667
20.735403,1214617
20.768433,1216781
20.808107,1219381
20.851717,1222239
20.890573,1224786
20.932044,1227504
20.976907,1230444
21.013022,1232810
21.056705,1235673
21.101149,1238586
21.137245,1240951
21.179541,1243723
21.221756,1246490
21.256300,1248754
21.290134,1250971
21.335114,1253919
21.369852,1256195
21.410276,1258845
21.459284,1262056
21.497632,1264569
21.541997,1267477
21.580864,1270024
21.616874,1272384
21.655154,1274893
21.700760,1277881
21.737010,1280257
21.777653,1282921
21.817350,1285522
21.857313,1288141
21.892536,1290449
21.933812,1293154
21.967105,1295336
22.007808,1298004
22.052850,1300956
22.094289,1303671
22.130444,1306041
22.179273,1309241
22.215810,1311635
22.259450,1314495
22.297250,1316972
22.338299,1319663
22.381077,1322466
22.417524,1324855
22.460249,1327655
22.499449,1330223
22.533994,1332487
22.569322,1334803
22.610648,1337511
22.648358,1339982
22.698007,1343236
22.733229,1345544
22.781488,1348707
22.819060,1351169
22.861530,1353952
22.898383,1356368
22.937369,1358923
22.976936,1361516
23.018564,1364244
23.061721,1367072
23.101229,1369661
23.139526,1372171
23.174153,1374440
23.207930,1376654
23.252548,1379578
23.288532,1381936
23.328127,1384531
23.375841,1387658
23.415335,1390246
23.459887,1393166
23.498292,1395683
23.539683,1398395
23.579268,1400989
23.612095,1403141
23.652359,1405779
23.700314,1408922
23.741369,1411613
23.779911,1414139
23.808333,1416001
23.856070,1419130
23.889348,1421311
23.926624,1423753
23.971492,1426694
24.009530,1429187
24.052486,1432002
24.095630,1434829
24.129831,1437071
24.171392,1439794
24.215988,1442717
24.261346,1445689
24.301324,1448309
